5: "ABANIN"
10: "ABDON CALDERON"
15: "ABDON CALDERON / LA UNION"
20: "ACHUPALLAS"
25: "AHUANO"
30: "ALANGASI"
35: "ALAQUEZ"
40: "SANTA FE DE GALAN"
45: "SAN JOSE DEL CHAZO"
50: "ALHAJUELA /BAJO GRANDE"
55: "ALOAG"
60: "ALOASI"
65: "ALSHI /9 DE OCTUBRE"
70: "ALTO TAMBO/GUADAL"
75: "ALLURIQUIN"
80: "AMAGUAÑA"
85: "AMALUZA"
90: "AMAZONAS"
95: "AMBATILLO"
100: "AMBUQUI/CHOTA"
105: "AMERICA /LA CERA"
110: "ANCON/PALMA REAL"
115: "ANCONCITO"
120: "ANCHAYACU"
125: "ANGAMARCA"
130: "ANGOCHAGUA"
135: "ANTONIO J. HOLGUIN"
140: "ANTONIO SOTOMAYOR"
145: "APUELA"
150: "PATRICIA PILAR"
155: "ARAPICOS"
160: "EL INGENIO"
165: "ASCAZUBI"
170: "ASUNCION"
175: "ASUNCION"
180: "ASUNCION"
185: "VALLE DE LA VIRGEN"
190: "ATAHUALPA /CHIPZALATA"
195: "ATAHUALPA /HABASPAMBA"
200: "ATAHUALPA/CAMARONES"
205: "ATAHUALPA"
210: "AUGUSTO N MARTINEZ"
215: "AVILA"
220: "AYACUCHO"
225: "AYAPAMBA"
230: "EL REVENTADOR"
235: "BELLA VISTA"
240: "MEMBRILLO"
245: "LA IBERIA"
250: "PIARTAL"
255: "EL RETIRO"
260: "LIMONAL"
265: "BACHILLERO"
270: "EL ARENAL"
275: "BALZAPAMBA"
280: "LIMONES"
285: "BAÑOS"
290: "GARZAREAL"
295: "BAQUERIZO MORENO"
300: "BARBONES"
305: "VALLE HERMOSO"
310: "SUMAYPAMBA"
315: "BELISARIO QUEVEDO"
320: "BELLAVISTA"
325: "BELLAVISTA"
330: "BELLAVISTA"
335: "BENITEZ /PACHANLICA"
340: "BERMEJOS"
345: "BILOVAN"
350: "BOMBOIZA"
355: "BOLIVAR"
360: "FUNDOCHAMBA"
365: "BOLIVAR"
370: "BORBON"
375: "SAN JUAN DE CERRO AZUL"
380: "BOYACA"
385: "BUENAVISTA"
390: "BUENAVISTA"
395: "BULAN / J. VICTOR IZQUIERDO"
400: "SAN VICENTE DE HUATICOCHA"
405: "CHIBUNGA"
410: "VALPARAISO"
415: "SAN CARLOS"
420: "CACHA"
425: "CAHUASQUI"
430: "CALACALI"
435: "CALDERON"
440: "CALDERON"
445: "CALPI"
450: "CAMARONES"
455: "BELLAVISTA"
460: "CAMPOZANO"
465: "CANCHAGUA"
470: "CANOA"
475: "CANELOS"
480: "CANGAHUA"
485: "CANGONAMA"
490: "ENOKANQUI"
495: "CANUTO"
500: "CANI"
505: "CAPIRO"
510: "CAP. AUGUSTO RIVADENEIRA"
515: "CAPZOL"
520: "CARACOL"
525: "SHIMPIS"
